Customer ID,Name,Email,Phone,Total Sandwiches Purchased,Number of Orders,Type
C001,Customer 1,customer1@student.cbs.dk,+1234567801,6,4,Student
C002,Customer 2,customer2@student.cbs.dk,+1234567802,25,10,Student
C003,Customer 3,customer3@student.cbs.dk,+1234567803,13,5,Student
C004,Customer 4,customer4@student.cbs.dk,+1234567804,18,5,Student
C005,Customer 5,customer5@student.cbs.dk,+1234567805,5,2,Student
C006,Customer 6,customer6@student.cbs.dk,+1234567806,2,2,Student
C007,Customer 7,customer7@student.cbs.dk,+1234567807,6,2,Student
C008,Customer 8,customer8@student.cbs.dk,+1234567808,32,9,Student
C009,Customer 9,customer9@student.cbs.dk,+1234567809,14,7,Student
C010,Customer 10,customer10@student.cbs.dk,+1234567810,16,5,Student
C011,Customer 11,customer11@student.cbs.dk,+1234567811,21,7,Student
C012,Customer 12,customer12@student.cbs.dk,+1234567812,26,10,Student
C013,Customer 13,customer13@student.cbs.dk,+1234567813,27,10,Student
C014,Customer 14,customer14@student.cbs.dk,+1234567814,29,10,Student
C015,Customer 15,customer15@student.cbs.dk,+1234567815,25,10,Student
C016,Customer 16,customer16@student.cbs.dk,+1234567816,13,3,Student
C017,Customer 17,customer17@student.cbs.dk,+1234567817,5,2,Student
C018,Customer 18,customer18@student.cbs.dk,+1234567818,11,4,Student
C019,Customer 19,customer19@student.cbs.dk,+1234567819,3,1,Student
C020,Customer 20,customer20@student.cbs.dk,+1234567820,5,2,Student
C021,Customer 21,customer21@student.cbs.dk,+1234567821,5,2,Student
C022,Customer 22,customer22@student.cbs.dk,+1234567822,2,2,Student
C023,Customer 23,customer23@student.cbs.dk,+1234567823,21,6,Student
C024,Customer 24,customer24@student.cbs.dk,+1234567824,7,4,Student
C025,Customer 25,customer25@student.cbs.dk,+1234567825,16,4,Student
C026,Customer 26,customer26@student.cbs.dk,+1234567826,6,2,Student
C027,Customer 27,customer27@student.cbs.dk,+1234567827,7,2,Student
C028,Customer 28,customer28@student.cbs.dk,+1234567828,26,10,Student
C029,Customer 29,customer29@student.cbs.dk,+1234567829,14,7,Student
C030,Customer 30,customer30@student.cbs.dk,+1234567830,1,1,Student
C031,Customer 31,customer31@student.cbs.dk,+1234567831,4,1,Student
C032,Customer 32,customer32@student.cbs.dk,+1234567832,6,2,Student
C033,Customer 33,customer33@student.cbs.dk,+1234567833,6,2,Student
C034,Customer 34,customer34@student.cbs.dk,+1234567834,19,6,Student
C035,Customer 35,customer35@student.cbs.dk,+1234567835,9,3,Student
C036,Customer 36,customer36@student.cbs.dk,+1234567836,21,7,Student
C037,Customer 37,customer37@student.cbs.dk,+1234567837,6,2,Student
C038,Customer 38,customer38@student.cbs.dk,+1234567838,10,2,Student
C039,Customer 39,customer39@student.cbs.dk,+1234567839,2,1,Student
C040,Customer 40,customer40@student.cbs.dk,+1234567840,33,10,Student
C041,Customer 41,customer41@student.cbs.dk,+1234567841,1,1,Student
C042,Customer 42,customer42@student.cbs.dk,+1234567842,9,3,Student
C043,Customer 43,customer43@student.cbs.dk,+1234567843,17,9,Student
C044,Customer 44,customer44@student.cbs.dk,+1234567844,22,8,Student
C045,Customer 45,customer45@student.cbs.dk,+1234567845,28,10,Student
C046,Customer 46,customer46@student.cbs.dk,+1234567846,9,2,Student
C047,Customer 47,customer47@student.cbs.dk,+1234567847,4,2,Student
C048,Customer 48,customer48@student.cbs.dk,+1234567848,29,10,Student
C049,Customer 49,customer49@student.cbs.dk,+1234567849,5,2,Student
C050,Customer 50,customer50@student.cbs.dk,+1234567850,4,3,Student
C051,Customer 51,customer51@example.com,+1234567851,6,2,Regular
C052,Customer 52,customer52@example.com,+1234567852,8,2,Regular
C053,Customer 53,customer53@example.com,+1234567853,31,9,Regular
C054,Customer 54,customer54@example.com,+1234567854,7,2,Regular
C055,Customer 55,customer55@example.com,+1234567855,15,4,Regular
C056,Customer 56,customer56@example.com,+1234567856,6,3,Regular
C057,Customer 57,customer57@example.com,+1234567857,20,7,Regular
C058,Customer 58,customer58@example.com,+1234567858,4,1,Regular
C059,Customer 59,customer59@example.com,+1234567859,22,7,Regular
C060,Customer 60,customer60@example.com,+1234567860,29,10,Regular
C061,Customer 61,customer61@example.com,+1234567861,5,2,Regular
C062,Customer 62,customer62@example.com,+1234567862,1,1,Regular
C063,Customer 63,customer63@example.com,+1234567863,5,2,Regular
C064,Customer 64,customer64@example.com,+1234567864,19,8,Regular
C065,Customer 65,customer65@example.com,+1234567865,24,7,Regular
C066,Customer 66,customer66@example.com,+1234567866,4,1,Regular
C067,Customer 67,customer67@example.com,+1234567867,9,2,Regular
C068,Customer 68,customer68@example.com,+1234567868,7,2,Regular
C069,Customer 69,customer69@example.com,+1234567869,26,8,Regular
C070,Customer 70,customer70@example.com,+1234567870,16,5,Regular
C071,Customer 71,customer71@example.com,+1234567871,6,2,Regular
C072,Customer 72,customer72@example.com,+1234567872,2,2,Regular
C073,Customer 73,customer73@example.com,+1234567873,7,2,Regular
C074,Customer 74,customer74@example.com,+1234567874,9,3,Regular
C075,Customer 75,customer75@example.com,+1234567875,24,8,Regular
C076,Customer 76,customer76@example.com,+1234567876,4,2,Regular
C077,Customer 77,customer77@example.com,+1234567877,9,2,Regular
C078,Customer 78,customer78@example.com,+1234567878,22,7,Regular
C079,Customer 79,customer79@example.com,+1234567879,7,2,Regular
C080,Customer 80,customer80@example.com,+1234567880,1,1,Regular
C081,Customer 81,customer81@example.com,+1234567881,24,10,Regular
C082,Customer 82,customer82@example.com,+1234567882,8,2,Regular
C083,Customer 83,customer83@example.com,+1234567883,24,10,Regular
C084,Customer 84,customer84@example.com,+1234567884,13,4,Regular
C085,Customer 85,customer85@example.com,+1234567885,25,8,Regular
C086,Customer 86,customer86@example.com,+1234567886,11,4,Regular
C087,Customer 87,customer87@example.com,+1234567887,6,2,Regular
C088,Customer 88,customer88@example.com,+1234567888,4,3,Regular
C089,Customer 89,customer89@example.com,+1234567889,6,2,Regular
C090,Customer 90,customer90@example.com,+1234567890,10,5,Regular
C091,Customer 91,customer91@example.com,+1234567891,25,8,Regular
C092,Customer 92,customer92@example.com,+1234567892,2,1,Regular
